trial,learning_rate,momentum,decay,cosine_period,restart_decay,warmup_epochs,loss_lambda
0,0.07843617152147155,0.95,0.0004414547668714958,30,0.95,6,0.5
1,0.012648944190995185,0.95,0.00042314325723701507,30,0.8,4,0.5
2,0.0005504041625846246,0.95,0.0006185254421564669,10,0.9,0,0.5
3,0.0001723372824365229,0.9,0.00010672425147606311,15,0.9,0,0.5
4,0.03582694007388314,0.8,0.00010662036815846889,30,0.95,0,0.5
5,0.009643278937569416,0.8,0.00022539211153419495,10,0.95,4,0.5
6,0.07966422844512727,0.95,0.00015415576408381196,15,0.95,0,0.5
7,0.011660338804049257,0.95,0.0005898116292316128,20,0.95,2,0.5
8,0.00042551280654700167,0.99,0.0002197128239292823,15,1.0,6,0.5
9,0.00016228187698623403,0.95,0.000698538356005335,15,1.0,6,0.5
10,0.07556256541330662,0.99,0.00029639693828941203,15,0.9,0,0.5
11,0.00035729126161989803,0.9,0.0003099280526946265,20,1.0,6,0.5
12,0.00036953399266954185,0.95,0.0005598598847586388,20,0.95,0,0.5
13,0.11123665030886644,0.99,0.00036625418923585685,10,0.8,0,0.5
14,0.0027010499178587288,0.99,0.0008069101493599735,10,0.8,0,0.5
15,0.00014324218144259816,0.9,0.00042569393740316496,20,0.95,2,0.5
16,0.008504675860502232,0.95,0.00034579917908002575,15,0.8,2,0.5
17,0.06272907971619972,0.95,0.00029340829944612734,10,0.8,4,0.5
18,0.025436547181241626,0.9,0.00017233536275365163,20,0.95,0,0.5
19,0.02099507744162456,0.99,0.00031043506837776067,10,1.0,6,0.5
20,0.021037740274932167,0.9,0.0008211859955300903,10,0.8,0,0.5
21,0.057556714181005185,0.95,0.0006708501811659588,15,0.95,4,0.5
22,0.15538983249930524,0.95,0.0007615146856132808,10,0.95,2,0.5
23,0.0014102042483723541,0.95,0.0007858212305743113,15,0.8,6,0.5
