trial,learning_rate,momentum,decay,cosine_period,initialization,loss_lambda
0,0.0005367277677711348,0.8,0.0002740483730393935,30,Pretrained,0.689683094813412
1,0.007825477721637691,0.8,0.0042831844108532306,20,Pretrained,0.6176351677340904
2,0.01910127214924773,0.99,0.0007052175981348168,10,Pretrained,0.6666007239919312
3,0.018485674981169865,0.95,0.008640565899382642,20,Xavier,0.5755809354347448
4,0.038455946110568,0.95,0.00017633130952829956,15,Kaiming,0.6611033610708329
5,0.0017426119554268264,0.9,0.000608125653858301,15,Pretrained,0.6635632133683967
6,0.03289740704975055,0.8,0.00021962556349177447,10,Kaiming,0.5238213881097322
7,0.012099375655935262,0.8,0.00020529284424547964,15,Xavier,0.6049435551877073
8,0.002191773213402189,0.99,0.00021492160993846258,15,Kaiming,0.6960983092577627
9,0.0037408673615979843,0.99,0.0017495535427956967,20,Kaiming,0.705288789690609
10,0.003615184976197822,0.95,0.006731250057708721,20,Xavier,0.6056720623651847
11,0.00018215515931197353,0.95,0.00040071648024807516,30,Pretrained,0.7080609502981254
12,0.00012149642411661558,0.8,0.00011890766889115644,10,Kaiming,0.579514003421598
13,0.0268728760399728,0.99,0.00013635964114223459,15,Pretrained,0.5403396497842566
14,0.0003656286318395519,0.99,0.0022692386816443927,20,Pretrained,0.5327786064308317
15,0.0001464757961087639,0.9,0.00309909850699743,30,Pretrained,0.555761665730115
16,0.0007453115532177064,0.8,0.0003448396998463965,30,Pretrained,0.5904210984479131
17,0.002721695459465771,0.9,0.005079029002486241,30,Kaiming,0.5828885029043788
18,0.0009978785212393139,0.99,0.002441317598342749,10,Xavier,0.6285632312790819
19,0.0009599605691256831,0.95,0.00025429885730093627,10,Pretrained,0.6400942693221635
20,0.008088659797427254,0.99,0.008802889727685618,15,Pretrained,0.5796345598805521
21,0.00011603685591445942,0.8,0.00011800598252943278,30,Pretrained,0.729585707270493
22,0.0009001952118505241,0.9,0.006747981131989064,20,Pretrained,0.6311479247019447
23,0.005953271943313608,0.8,0.005231040826401754,20,Xavier,0.56796101707309
24,0.0034391033470836576,0.99,0.0002123211358106177,20,Kaiming,0.5463870288737539
25,0.07776478689659709,0.99,0.0006698620280216736,20,Pretrained,0.6684756195725954
26,0.0003635151361733509,0.99,0.006782063125552747,15,Pretrained,0.5229789039740899
27,0.0002848788304478408,0.8,0.00022663587525942967,20,Pretrained,0.604250737403147
28,0.033968693031722216,0.8,0.0006029505444581498,20,Xavier,0.6649963838678523
29,0.01940657638051308,0.8,0.0002560361946732769,15,Pretrained,0.622231574653187
