index,backbone,learning_rate,momentum,decay,scheduler,cosine_period,step_period,initialization,trained
0,resnet18,0.0147826530635615,0.9,0.0005227996324507,step,20,30,Xavier,Trained
1,resnet34,0.0601581573154134,0.9,0.0021264585635045,CosineRestart,10,40,Kaiming,Trained
2,resnet18,0.0539431635298993,0.8,0.0026827697202186,CosineRestart,10,20,Xavier,Trained
3,resnet18,0.0261340442798224,0.8,0.0019375909541057,step,5,30,Kaiming,Trained
4,resnet18,0.0093436078322652,0.8,0.0015826021800269,CosineRestart,10,30,Kaiming,Trained
5,resnet18,0.0008578569545992,0.95,0.0069905379771975,step,10,30,Xavier,Trained
6,resnet18,0.0048775754215018,0.95,0.006487201734978,step,5,20,Xavier,Trained
7,resnet18,0.0017184598853385,0.95,0.0013287341651574,CosineRestart,10,40,Kaiming,Trained
8,resnet18,0.002943498826236,0.95,0.0080201994038811,step,5,10,Xavier,Trained
9,resnet18,0.0014630585550112,0.95,0.0037660108247506,step,20,10,Kaiming,Trained
10,resnet34,0.0004718734114098,0.95,0.0097577880379031,step,10,30,Kaiming,Trained
11,resnet18,0.0330958525022353,0.9,0.0005466060488988,step,10,30,Kaiming,Trained
12,resnet34,0.0096900323152916,0.9,0.0025296758990888,step,5,20,Xavier,Trained
13,resnet34,0.0147442432844872,0.8,0.0043920585490575,CosineRestart,5,40,Kaiming,Trained
14,resnet34,0.083868661540554,0.8,0.0001838403861621,CosineRestart,10,30,Xavier,Trained
15,resnet18,0.0008124757833572,0.9,0.0048842030527805,step,5,20,Xavier,Trained
16,resnet34,0.0024269138740986,0.95,0.0006909303455197,step,15,40,Kaiming,Trained
17,resnet18,0.0003289499858492,0.95,0.0002137803213393,step,15,40,Kaiming,Trained
18,resnet18,0.0046173485408707,0.8,0.0041033010460538,step,15,10,Kaiming,Trained
19,resnet34,0.0114141356519084,0.95,0.0002192654087199,step,5,20,Kaiming,Trained
20,resnet34,0.0097409267030501,0.8,0.0074501136045678,CosineRestart,10,20,Kaiming,Trained
21,resnet18,0.0022065900943704,0.8,0.0001023433411982,CosineRestart,20,20,Kaiming,Trained
22,resnet34,0.0120875607667628,0.8,0.0006982164521898,step,10,30,Kaiming,Trained
23,resnet18,0.0414859618123327,0.8,0.0052120570055701,step,20,10,Kaiming,Trained
